Species,Experiment,Patrol,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,SaplingCodeNoPatrol,SaplingCodeUnique,TwigCodeUnique
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Blue,754.66016,5.26484,0.006976438,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_C,BUB_Cleidion_brevipetiolatum_2CN1_Blue_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Blue,921.31325,54.57819,0.059239558,0.05226312,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_D,BUB_Cleidion_brevipetiolatum_2CN1_Blue_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_A,BUB_Cleidion_brevipetiolatum_2CN1_Red_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_B,BUB_Cleidion_brevipetiolatum_2CN1_Red_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Red,1040.19544,9.92757,0.009543947,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_C,BUB_Cleidion_brevipetiolatum_2CN1_Red_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Red,807.93034,26.74507,0.033103188,0.023559241,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_D,BUB_Cleidion_brevipetiolatum_2CN1_Red_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_White,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_A,BUB_Cleidion_brevipetiolatum_2CN1_White_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_White,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_B,BUB_Cleidion_brevipetiolatum_2CN1_White_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_White,618.73967,4.06033,0.006562259,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_C,BUB_Cleidion_brevipetiolatum_2CN1_White_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_White,797.91079,60.60493,0.075954519,0.06939226,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_D,BUB_Cleidion_brevipetiolatum_2CN1_White_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_A,BUB_Cleidion_brevipetiolatum_3CN1_Blue_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_B,BUB_Cleidion_brevipetiolatum_3CN1_Blue_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Blue,459.14009,1.87291,0.004079169,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_C,BUB_Cleidion_brevipetiolatum_3CN1_Blue_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Blue,706.06225,50.12788,0.070996403,0.066917234,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_D,BUB_Cleidion_brevipetiolatum_3CN1_Blue_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_A,BUB_Cleidion_brevipetiolatum_3CN1_Red_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_B,BUB_Cleidion_brevipetiolatum_3CN1_Red_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_3CN1_Red,243.13116,0.53884,0.002216252,NA,BUB_Cleidion_brevipetiolatum_3CN1,BUB_Cleidion_brevipetiolatum_3CN1_C,BUB_Cleidion_brevipetiolatum_3CN1_Red_C
